max_length,Jexp cnf,Jv cnf,surface,length,dp,Jexp(P),Jv(P),Cbase,kpr,klr,Js,Ps,F cnf,F Lpr,x pr,K pr,x lr,K lr,x pr,K1st pr,x lr,K1st lr
0.3000000000000002,0.0052819444444444,0.004111460631319049,0.0017960855908505807,0.9540000000000001,0.0,0.0005583333333333,9.229955288449747e-05,158.22131132636474,37.32,37.32,1.314e-07,8.543e-10,1.015266100064093e-05,9.193424101762872e-06,0.0,1.899e-05,0.0,1.899e-05,0.0,1.899e-05,0.0,1.899e-05
0.259901734,0.0099763888888888,0.009867116945309801,0.0016634161330894826,0.913,0.05,0.0017527777777777,0.00035265672341418296,136.34284463770226,,,,,,,0.05,0.03169,0.05,0.03169,0.05,0.03169,0.05,0.03169
0.215540991,0.0115597222222222,0.01161897291799578,0.001521039154028792,0.869,0.15,0.0018361111111111,0.001175803032350826,94.69459267456173,,,,,,,0.07,0.04645,0.07,0.04645,0.07,0.04645,0.07,0.04645
0.175238221,0.0159486111111111,0.013408593196318833,0.0013916055367008914,0.8290000000000001,0.1,0.0003916666666666,0.0006989457735681641,115.395413695851,,,,,,,0.11,0.06921,0.11,0.06921,0.11,0.06921,0.11,0.06921
0.142239551,0.0141152777777778,0.015565509144773906,0.0012545353359506468,0.772,0.25,0.002725,0.0027918049630202457,59.398054297535396,,,,,,,0.14,0.07315,0.14,0.07315,0.14,0.07315,0.14,0.07315
0.10916548,0.0187263888888889,0.01918716607578537,0.0010732959132872615,0.68,0.2,0.0013916666666666,0.001843648048584263,76.1010376559657,,,,,,,0.18,0.07823,0.18,0.07823,0.18,0.07823,0.18,0.07823
,,,,,0.0,-0.0020361111111111,9.229955288449747e-05,158.22131132636474,,,,,,,,,,,,,,
,,,,,0.25,0.0031972222222222,0.0027918049630202457,59.398054297535396,,,,,,,,,,,,,,
,,,,,0.3,0.0032527777777777,0.004111460631319049,45.51685823116075,,,,,,,0.26,0.08811,0.26,0.08811,0.26,0.08811,0.26,0.08811
,,,,,0.35,0.0051138888888888,0.005852286671757195,34.796111468456935,,,,,,,0.22,0.08338,0.22,0.08338,0.22,0.08338,0.22,0.08338
,,,,,0.45,0.009975,0.010424654119173296,21.501435357690845,,,,,,,0.3,0.09563,0.3,0.09563,0.3,0.09563,0.3,0.09563
,,,,,0.5,0.0133916666666667,0.013079466562561294,17.598015346160093,,,,,,,,,,,,,,
